I:\InterSystems\HealthShare\mgr\logs\pButtons\20170103_000100_24hours_30sec_7.log,MGSTATv2.9a,wdcycle=40^10^80^4,globalbuffers=24000MB:0^0^24000^0^0^0,routinebuffers=1021MB:0^127^0^383^0^511,numberofcpus=8:x86^2^8,productversion=Cache for Windows (x86-64) 2015.2 (Build 664_3_16515U) Thu Jul 14 2016 13:11:41 EDT
Date,       Time    ,  Glorefs, RemGrefs, GRratio,  PhyRds, Rdratio, Gloupds, RemGupds, Rourefs, RemRrefs,  RouLaS, RemRLaS,  PhyWrs,   WDQsz,  WDtmpq, WDphase,  WIJwri,  RouCMs, Jrnwrts,  ActECP,  Addblk, PrgBufL, PrgSrvR,  BytSnt,  BytRcd,  WDpass,  IJUcnt, IJULock
01/03/2017, 00:06:00,   470045,        0,       0,       0,       0,   41425,        0,   25200,        0,      12,       0,       0,     103,    5539,       5,      16,       0,      52,       0,       0,       0,       0,       0,       0,    1343,       0,       0
01/03/2017, 00:06:10,   410762,        0,       0,       0,       0,   43580,        0,   19519,        0,       1,       0,     564,    1241,       0,       0,       1,       0,      55,       0,       0,       0,       0,       0,       0,    1344,       0,       0
01/03/2017, 00:06:20,   392495,        0,       0,       1,  299815,   37895,        0,   23994,        0,       4,       0,       0,    2624,       0,       0,       0,       2,      47,       0,       0,       0,       0,       0,       0,    1344,       0,       0
01/03/2017, 00:06:30,   285252,        0,       0,       6,29029.67,   22835,        0,   27627,        0,       3,       0,       0,    3597,       0,       0,       0,       4,      26,       0,       0,       0,       0,       0,       0,    1344,       0,       0
01/03/2017, 00:06:40,   416146,        0,       0,       3,98497.67,   32916,        0,   34365,        0,       9,       0,       0,    4208,       0,       0,       0,       0,      41,       0,       0,       0,       0,       0,       0,    1344,       0,       0
01/03/2017, 00:06:50,   291905,        0,       0,       3,59740.67,   22836,        0,   25581,        0,       0,       0,       0,    5249,       0,       0,       0,       2,      28,       0,       0,       0,       0,       0,       0,    1344,       0,       0
01/03/2017, 00:07:00,   352010,        0,       0,       3,65948.67,   22209,        0,   37447,        0,       6,       0,       0,    6374,       0,       0,       0,       3,      25,       0,       0,       0,       0,       0,       0,    1344,       0,       0
01/03/2017, 00:07:10,   283271,        0,       0,       3,50172.33,   18053,        0,   40590,        0,       8,       0,       0,      38,    7189,       5,       2,       3,      21,       0,       0,       0,       0,       0,       0,    1344,       0,       0
01/03/2017, 00:07:20,   289283,        0,       0,       4,33931.25,   16989,        0,   43378,        0,       4,       0,     778,    1029,       0,       0,      23,       5,      17,       0,       0,       0,       0,       0,       0,    1347,       0,       0
01/03/2017, 00:07:30,   279952,        0,       0,       4,   28040,   14496,        0,   47876,        0,      18,       0,       0,    2149,       0,       0,       0,      16,      13,       0,       0,       0,       0,       0,       0,    1347,       0,       0
